hour,day_shift,week_day,weekend,ESCRITORIO_AR_CONDICIONADO-006,ESCRITORIO_SENSOR_PRESENCA-007,ESCRITORIO_LAMPADA-005,mode,switch,temp_set,mode_Y,switch_Y,temp_set_Y
10,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
10,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
10,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
11,1,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
12,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
13,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
14,2,5,1,AUTO,OFF,OFF,AUTO,OFF,26.0,AUTO,OFF,26.0
